Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:05,4,800098F10,4,800098F10,1242.61,US Dollar,91262.59,Rupee,ACH,0
2022/09/01 00:06,4,800098F10,4,800098F10,258.71,US Dollar,19000.52,Rupee,ACH,0
2022/09/01 00:00,24329,803298A00,4,815E706F0,382.81,Rupee,382.81,Rupee,Credit Card,0
2022/09/01 00:06,13,81278BD70,4,812D17990,3533.66,Yen,3533.66,Yen,Credit Card,0
2022/09/01 00:27,4,8134426A0,4,8134426A0,153334.28,Yen,153334.28,Yen,Reinvestment,0
2022/09/01 00:14,51969,813F19C30,4,8134FE2E0,1651.54,Yen,1651.54,Yen,Credit Card,0
2022/09/01 00:12,250895,8142E7280,4,80EC394C0,26312.02,Yen,26312.02,Yen,Credit Card,0
2022/09/01 00:08,51969,8149B6DB0,4,813203150,1576.01,Yen,1576.01,Yen,Credit Card,0
2022/09/01 00:11,4,814D6CA40,4,814D6CA40,442.51,Yen,442.51,Yen,Reinvestment,0
2022/09/01 00:27,151989,815CE6700,4,815CE67D0,198342.0,Yen,198342.0,Yen,Cheque,0
2022/09/01 00:00,4,800090000,4,800090000,375964.99,Yen,375964.99,Yen,Cheque,0
2022/09/01 00:15,4,800090000,4,800090000,394428.96,Yen,394428.96,Yen,Credit Card,0
2022/09/01 00:28,4,800092470,4,800092470,850.83,Yen,850.83,Yen,Reinvestment,0
2022/09/01 00:15,4,800095330,4,800095330,23695008.87,Yen,23695008.87,Yen,Reinvestment,0
2022/09/01 00:10,4,80186CBB0,4,80186CBB0,1889.99,Yen,1889.99,Yen,Reinvestment,0
2022/09/01 00:17,4,801870080,4,801870080,660171.26,Yen,660171.26,Yen,Reinvestment,0
2022/09/01 00:22,4,801870430,4,801870430,953823.21,Yen,953823.21,Yen,Reinvestment,0
2022/09/01 00:23,4,801871220,4,801871220,20487448.27,Yen,20487448.27,Yen,Reinvestment,0
2022/09/01 00:19,4,801870080,4,801870080,2080.13,Yen,2080.13,Yen,Reinvestment,0
2022/09/01 00:22,4,801870430,4,801870430,667.61,Yen,667.61,Yen,Reinvestment,0
2022/09/01 00:24,4,8018738F0,4,8018738F0,457132190.35,Yen,457132190.35,Yen,Reinvestment,0
2022/09/01 00:27,4,801874070,4,801874070,1126742.18,Yen,1126742.18,Yen,Reinvestment,0
2022/09/01 00:09,4,8018742A0,4,8018742A0,5923.47,Yen,5923.47,Yen,Reinvestment,0
2022/09/01 00:12,4,8018667D0,4,8018667D0,3708883.44,Yen,3708883.44,Yen,Reinvestment,0
2022/09/01 00:00,34378,8018755B0,4,80186EE80,2.03,Yen,2.03,Yen,Cheque,0
2022/09/01 00:12,4,8018667D0,4,8018667D0,2016.19,Yen,2016.19,Yen,Reinvestment,0
2022/09/01 00:26,4,80186A8C0,4,80186A8C0,608.04,Yen,608.04,Yen,Reinvestment,0
2022/09/01 00:19,4,80186A960,4,80186A960,1101.24,Yen,1101.24,Yen,Reinvestment,0
2022/09/01 00:04,4,80186EE80,4,80186EE80,2169.95,Yen,2169.95,Yen,Reinvestment,0
2022/09/01 00:25,4,80186EFC0,4,80186EFC0,1352.7,Yen,1352.7,Yen,Reinvestment,0
2022/09/01 00:28,4,80187AB20,4,80187AB20,29275090.81,Yen,29275090.81,Yen,Reinvestment,0
2022/09/01 00:15,4,80187AB20,4,80187AB20,913.14,Yen,913.14,Yen,Reinvestment,0
2022/09/01 00:13,4,806B03390,4,806B03390,2131.53,Yen,2131.53,Yen,Reinvestment,0
2022/09/01 00:22,34378,806B10F00,4,806B08B30,1.81,Yen,1.81,Yen,Cheque,0
2022/09/01 00:19,4,806B11260,4,806B11260,4520351.48,Yen,4520351.48,Yen,Reinvestment,0
2022/09/01 00:02,4,806B07D20,4,806B07D20,1698.72,Yen,1698.72,Yen,Reinvestment,0
2022/09/01 00:11,4,806B0AD50,4,806B0AD50,1755.65,Yen,1755.65,Yen,Reinvestment,0
2022/09/01 00:23,4,806B161D0,4,806B161D0,2181.69,Yen,2181.69,Yen,Reinvestment,0
2022/09/01 00:27,4,806B17710,4,806B17710,1088.68,Yen,1088.68,Yen,Reinvestment,0
2022/09/01 00:19,318196,806B17B50,4,80186AE70,0.12,Yen,0.12,Yen,Cheque,0
2022/09/01 00:17,4,80186AE70,4,80186AE70,2101.43,Yen,2101.43,Yen,Reinvestment,0
2022/09/01 00:17,4,800094E90,4,800094E90,2552.34,Yen,2552.34,Yen,Reinvestment,0
2022/09/01 00:29,13,80008FCB0,4,808F8BE00,68714.04,Yen,68714.04,Yen,Cheque,0
2022/09/01 00:07,13,80008FCB0,4,808F8BE00,64695.55,Yen,64695.55,Yen,Credit Card,0
2022/09/01 00:06,4,808F8C840,4,808F8C840,186731594.2,Yen,186731594.2,Yen,Reinvestment,0
2022/09/01 00:15,4,8091F1560,4,8091F1560,2169.24,Yen,2169.24,Yen,Reinvestment,0
2022/09/01 00:00,4,80AC9D350,4,80AC9D350,15131887.2,Yen,15131887.2,Yen,Reinvestment,0
2022/09/01 00:02,5,806B0D400,4,80B6C7600,239722315.17,Yen,239722315.17,Yen,Cheque,0
2022/09/01 00:17,5,806B0D400,4,80B6C7600,918427.07,Yen,918427.07,Yen,Credit Card,0
2022/09/01 00:27,5,806B0D400,4,80B6C7600,681149209.49,Yen,681149209.49,Yen,Cash,0
2022/09/01 00:20,4,80CA32CC0,4,80CA32CC0,54785832.69,Yen,54785832.69,Yen,Reinvestment,0
2022/09/01 00:04,4,80CA32CC0,4,80CA32CC0,2486.09,Yen,2486.09,Yen,Reinvestment,0
